year,edition,edition_id,city,country_flag_url,country_noc,start_date,end_date,competition_date,is_held
1996,1996 Summer Olympics,24,Atlanta,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,1996-07-19,1996-08-04,20 July –  4 August,
2002,2002 Winter Olympics,47,Salt Lake City,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,2002-02-08,2002-02-24,9 – 24 February,
2028,2028 Summer Olympics,64,Los Angeles,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,,,—,
1980,1980 Winter Olympics,41,Lake Placid,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,1980-02-13,1980-02-24,12 – 24 February,
1932,1932 Winter Olympics,31,Lake Placid,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,1932-02-04,1932-02-13,4 – 15 February,
1904,1904 Summer Olympics,3,St. Louis,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,1904-05-14,, 1 July – 26 November,
1932,1932 Summer Olympics,10,Los Angeles,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,1932-07-30,1932-08-14,30 July – 14 August,
1984,1984 Summer Olympics,21,Los Angeles,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,1984-07-28,1984-08-12, 6 July – 12 August,
1960,1960 Winter Olympics,36,Squaw Valley,https://olympedia-flags.s3.eu-central-1.amazonaws.com/USA.png,USA,1960-02-18,1960-02-28,19 – 28 February,
1984,1984 Winter Olympics,42,Sarajevo,https://olympedia-flags.s3.eu-central-1.amazonaws.com/YUG.png,YUG,1984-02-08,1984-02-19,7 – 19 February,
1940,1940 Summer Olympics,51,Helsinki,https://olympedia-flags.s3.eu-central-1.amazonaws.com/FIN.png,FIN,,,—,Not held due to war
1944,1944 Summer Olympics,52,London,https://olympedia-flags.s3.eu-central-1.amazonaws.com/GBR.png,GBR,,,—,Not held due to war
1916,1916 Summer Olympics,50,Berlin,https://olympedia-flags.s3.eu-central-1.amazonaws.com/GER.png,GER,,,—,Not held due to war
1940,1940 Winter Olympics,55,Garmisch-Partenkirchen,https://olympedia-flags.s3.eu-central-1.amazonaws.com/GER.png,GER,,,—,Not held due to war
1944,1944 Winter Olympics,56,Cortina d'Ampezzo,https://olympedia-flags.s3.eu-central-1.amazonaws.com/ITA.png,ITA,,,—,Not held due to war
